"full_name","census_tract","poverty","bachelors","associates","car","diff_countyHouse","diff_countyRent","diff_stateHouse","diff_stateRent","health_ins","house_val","population","self_income","museums","pharmacy","score"
"Census Tract 1246.02, Passaic County, New Jersey","1246.02",298,705,287,4865,0,30,0,16,4865,338100,4865,134,NA,NA,NA
"Census Tract 1247, Passaic County, New Jersey","1247",692,537,303,6333,16,11,0,82,6333,316900,6333,192,NA,NA,NA
"Census Tract 1248, Passaic County, New Jersey","1248",216,617,193,4181,38,0,54,18,4172,333800,4181,109,NA,NA,NA
"Census Tract 1249, Passaic County, New Jersey","1249",598,449,236,5570,0,34,0,18,5570,336900,5570,128,NA,NA,NA
"Census Tract 125, Essex County, New Jersey","125",732,305,252,3767,0,36,31,0,3767,227900,3767,34,NA,NA,NA
"Census Tract 125, Hudson County, New Jersey","125",196,529,68,3852,26,0,101,10,3852,375500,3852,117,NA,NA,NA
"Census Tract 125.01, Atlantic County, New Jersey","125.01",60,349,159,2783,19,0,4,0,2704,310100,2783,119,NA,NA,NA
"Census Tract 125.02, Atlantic County, New Jersey","125.02",87,350,101,1481,0,0,25,0,1468,291900,1481,39,NA,NA,NA
"Census Tract 1250, Passaic County, New Jersey","1250",1010,389,320,6018,0,74,26,11,6018,314300,6018,181,NA,NA,NA
"Census Tract 1251, Passaic County, New Jersey","1251",858,248,167,3881,0,17,0,0,3881,344300,3881,81,NA,NA,NA
"Census Tract 126, Essex County, New Jersey","126",531,148,200,3246,0,9,0,0,3246,196500,3246,130,NA,NA,NA
"Census Tract 126, Hudson County, New Jersey","126",265,197,167,3485,56,177,0,43,3485,303700,3485,87,NA,NA,NA
"Census Tract 126.02, Atlantic County, New Jersey","126.02",34,369,105,1371,0,0,12,0,1371,401400,1371,81,NA,NA,NA
"Census Tract 127, Essex County, New Jersey","127",410,252,253,3996,15,66,0,23,3996,232900,3996,89,NA,NA,NA
"Census Tract 127, Hudson County, New Jersey","127",577,467,163,6111,43,23,10,20,5473,299800,6111,225,NA,NA,NA
"Census Tract 127.01, Atlantic County, New Jersey","127.01",407,322,190,3466,9,16,22,0,3466,244900,3466,102,NA,NA,NA
"Census Tract 127.02, Atlantic County, New Jersey","127.02",209,143,108,1679,3,0,24,4,1679,259800,1679,28,NA,NA,NA
"Census Tract 128, Essex County, New Jersey","128",604,130,109,3943,0,0,42,243,3943,208800,3943,68,NA,NA,NA
"Census Tract 128, Hudson County, New Jersey","128",248,421,87,4189,5,193,0,13,4189,339300,4189,85,NA,NA,NA
"Census Tract 128.01, Atlantic County, New Jersey","128.01",776,339,261,3763,0,132,5,36,3763,223500,3763,165,NA,NA,NA
"Census Tract 128.02, Atlantic County, New Jersey","128.02",140,301,119,1945,0,4,25,0,1945,266500,1945,66,NA,NA,NA
"Census Tract 129, Essex County, New Jersey","129",795,255,79,2883,0,0,0,10,2883,218300,2883,80,NA,NA,NA
"Census Tract 129, Hudson County, New Jersey","129",479,295,51,4383,0,5,0,0,4326,289300,4383,125,NA,NA,NA
"Census Tract 13, Atlantic County, New Jersey","13",516,159,101,2215,0,41,5,34,2215,234800,2215,4,NA,NA,NA
"Census Tract 13, Essex County, New Jersey","13",661,69,80,1685,0,0,0,50,1685,240400,1685,29,NA,NA,NA
"Census Tract 13, Hudson County, New Jersey","13",496,501,91,2951,41,0,17,57,2780,333000,2951,125,NA,NA,NA
"Census Tract 13, Mercer County, New Jersey","13",362,244,184,4064,0,82,12,0,3264,195900,4064,48,NA,NA,NA
"Census Tract 13, Middlesex County, New Jersey","13",444,821,106,4022,24,165,0,85,4022,378800,4022,296,NA,NA,NA
"Census Tract 130, Atlantic County, New Jersey","130",452,730,145,3756,63,0,129,0,3756,484500,3756,233,NA,NA,NA
"Census Tract 130, Essex County, New Jersey","130",205,296,128,1963,0,98,0,112,1963,NA,1963,10,NA,NA,NA
"Census Tract 130, Hudson County, New Jersey","130",345,196,127,3163,0,210,0,72,3163,335700,3163,66,NA,NA,NA
"Census Tract 130.01, Bergen County, New Jersey","130.01",235,2032,233,5922,68,354,56,289,5907,563200,5922,252,NA,NA,NA
"Census Tract 130.02, Bergen County, New Jersey","130.02",798,1782,125,5503,48,251,24,342,5503,541200,5503,190,NA,NA,NA
"Census Tract 131, Essex County, New Jersey","131",824,46,66,1771,0,34,0,0,1771,267000,1771,13,NA,NA,NA
"Census Tract 131, Hudson County, New Jersey","131",307,155,81,1953,0,62,0,120,1953,350000,1953,99,NA,NA,NA
"Census Tract 131.01, Atlantic County, New Jersey","131.01",20,360,162,1434,0,0,103,14,1434,682000,1434,20,NA,NA,NA
"Census Tract 131.02, Atlantic County, New Jersey","131.02",158,211,80,1269,0,37,0,0,1269,374400,1269,58,NA,NA,NA
"Census Tract 132, Essex County, New Jersey","132",895,209,45,2784,0,12,0,35,2784,285500,2784,70,NA,NA,NA
"Census Tract 132, Hudson County, New Jersey","132",1020,425,80,4664,21,150,0,153,4659,342000,4664,70,NA,NA,NA
"Census Tract 132.01, Atlantic County, New Jersey","132.01",321,199,42,2581,22,0,0,137,2550,329800,2581,52,NA,NA,NA
"Census Tract 132.02, Atlantic County, New Jersey","132.02",387,173,91,2726,0,44,0,11,2726,340100,2726,172,NA,NA,NA
"Census Tract 133, Essex County, New Jersey","133",1015,99,145,3391,0,41,10,61,3391,185000,3391,0,NA,NA,NA
"Census Tract 133, Hudson County, New Jersey","133",352,291,169,3323,0,430,0,34,3232,318300,3323,133,NA,NA,NA
"Census Tract 133.01, Atlantic County, New Jersey","133.01",177,589,151,2742,0,17,27,30,2742,421000,2742,155,NA,NA,NA
"Census Tract 133.02, Atlantic County, New Jersey","133.02",394,322,35,2736,18,12,0,49,2736,275200,2736,93,NA,NA,NA
"Census Tract 1337.01, Passaic County, New Jersey","1337.01",553,603,299,5090,0,0,0,0,5083,282700,5090,97,NA,NA,NA
"Census Tract 1337.02, Passaic County, New Jersey","1337.02",118,216,186,3285,0,0,0,80,3114,344700,3285,138,NA,NA,NA
"Census Tract 134, Essex County, New Jersey","134",59,791,197,4185,75,56,55,0,4185,405500,4185,120,NA,NA,NA
"Census Tract 134, Hudson County, New Jersey","134",389,210,25,2297,7,21,6,0,2297,322900,2297,94,NA,NA,NA
